Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Cost,Price
1,1,Ajani's Last Stand,Core Set 2019,4,,English,,,,,,,,0,{2}{W}{W},$0.30
1,1,Anointed Procession,Amonkhet,2,,English,,,,,,,,0,{3}{W},$13.43
1,1,Ashes of the Abhorrent,Ixalan,2,,English,,,,,,,,0,{1}{W},$0.39
1,1,Benalish Honor Guard,Dominaria,5,Near Mint,Russian,foil,,,,,,,0,{1}{W},$0.26
1,1,Benalish Marshal,Dominaria,6,,English,,,,,,,,0,{W}{W}{W},$0.65
1,1,Benalish Marshal,Dominaria,6,Near Mint,Russian,foil,,,,,,,0,{W}{W}{W},$2.89
3,2,Bishop of Rebirth,Launch Parties,40,Near Mint,Russian,foil,,,,,,,0,{3}{W}{W},$0.69
1,1,Citywide Bust,Guilds of Ravnica,4,,Russian,,,,,,,,0,{1}{W}{W},$0.33
1,1,Declaration in Stone,Shadows over Innistrad,12,,English,,,,,,,,0,{1}{W},$0.58
1,1,Ignite the Beacon,War of the Spark,18,,Russian,,,,,,,,0,{4}{W},$0.34
1,1,Justiciar's Portal,Ravnica Allegiance,13,Near Mint,Russian,foil,,,,,,,0,{1}{W},$0.26
2,1,Knight of Grace,Dominaria,23,Near Mint,English,foil,,,,,,,0,{1}{W},$0.96
2,2,Leonin Warleader,Core Set 2019,23,,Russian,,,,,,,,0,{2}{W}{W},$1.54
1,1,Looming Altisaur,Ixalan,23,Near Mint,Russian,foil,,,,,,,0,{3}{W},$0.35
1,1,Lumbering Battlement,Prerelease Events: Ravnica Allegiance,15,Near Mint,Russian,foil,,,,,,,0,{4}{W},$0.99
1,1,Lumbering Battlement,Ravnica Allegiance,15,,Russian,foil,,,,,,,0,{4}{W},$0.95
1,1,Mentor of the Meek,Core Set 2019,27,,English,,,,,,,,0,{2}{W},$0.49
1,1,Mentor of the Meek,Core Set 2019,27,Near Mint,Russian,,,,,,,,0,{2}{W},$0.49
7,3,Militia Bugler,Friday Night Magic,213,Near Mint,Russian,foil,,,,,,,0,{2}{W},$1.17
1,1,Parhelion II,War of the Spark,24,,Russian,,,,,,,,0,{6}{W}{W},$0.36
1,1,Radiant Destiny,Rivals of Ixalan,18,,English,,,,,,,,0,{2}{W},$1.49
1,1,Ravnica at War,Prerelease Events: War of the Spark,28,Near Mint,Russian,foil,,,,,,,0,{3}{W},$2.82
1,1,Ravnica at War,War of the Spark,28,,Russian,,,,,,,,0,{3}{W},$0.31
1,1,Sanguine Sacrament,Ixalan,33,,Russian,,,,,,,,0,{X}{W}{W},$0.35
1,1,Smothering Tithe,Ravnica Allegiance,22,,Russian,,,,,,,,0,{3}{W},$9.65
1,1,Solemnity,Hour of Devastation,22,,English,,,,,,,,0,{2}{W},$1.37
1,1,Suncleanser,Core Set 2019,39,,English,,,,,,,,0,{1}{W},$0.40
1,1,"Teshar, Ancestor's Apostle",Dominaria,36,,English,,,,,,,,0,{3}{W},$0.39
1,1,"Teshar, Ancestor's Apostle",Dominaria,36,Near Mint,Russian,,,,,,,,0,{3}{W},$0.39
2,2,Venerated Loxodon,Guilds of Ravnica,30,Near Mint,Russian,,,,,,,,0,{4}{W},$1.07
